Recorded time,Building Insurance Claim Size,Content Insurance Claim Size,Year,Month,Day
03/01/1980,1098096.63,585651.5,1980,1,3
04/01/1980,1756954.61,336749.6,1980,1,4
07/01/1980,1244509.52,3367496,1980,1,7
10/01/1980,4452039.53,4273234,1980,1,10
10/01/1980,2494875.55,3543192,1980,1,10
16/01/1980,775689.6,993117.1,1980,1,16
16/01/1980,812591.51,673499.3,1980,1,16
19/01/1980,2371573.94,168374.8,1980,1,19
26/01/1980,6918008.78,4456808,1980,1,26
26/01/1980,1602306,880433.4,1980,1,26
28/01/1980,18301610.54,7913031,1980,1,28
03/02/1980,1545622.25,456808.2,1980,2,3
05/02/1980,4392386.53,137628.1,1980,2,5
07/02/1980,1120988.29,720764.3,1980,2,7
13/02/1980,10248901.9,3873174,1980,2,13
16/02/1980,3081647.14,2342606,1980,2,16
19/02/1980,2928257.69,8784773,1980,2,19
20/02/1980,959004.39,556369,1980,2,20
22/02/1980,1756954.61,292825.8,1980,2,22
23/02/1980,3806734.99,8658858,1980,2,23
27/02/1980,512445.1,1171303,1980,2,27
07/03/1980,667749.63,2436483,1980,3,7
13/03/1980,1674612.01,73206.44,1980,3,13
13/03/1980,73206.44,2342606,1980,3,13
17/03/1980,4392386.53,897863.8,1980,3,17
26/03/1980,622655.93,1308665,1980,3,26
16/04/1980,732064.42,805270.9,1980,4,16
01/05/1980,369019.03,1098097,1980,5,1
01/05/1980,1024890.19,1024890,1980,5,1
02/05/1980,1088989.75,839721.8,1980,5,2
02/05/1980,2124303.07,1138851,1980,5,2
04/05/1980,898975.11,805270.9,1980,5,4
09/05/1980,1098096.63,2196193,1980,5,9
18/05/1980,5856515.37,1464129,1980,5,18
26/05/1980,9325036.6,4295754,1980,5,26
29/05/1980,732064.42,1024890,1980,5,29
03/06/1980,7320644.22,14641290,1980,6,3
12/06/1980,2306002.93,146412.9,1980,6,12
15/06/1980,1244509.52,1424597,1980,6,15
16/06/1980,612005.86,1112738,1980,6,16
21/06/1980,1171303.07,790629.6,1980,6,21
30/06/1980,3806734.99,819912.2,1980,6,30
04/07/1980,946705.71,2060029,1980,7,4
04/07/1980,1113212.3,4450640,1980,7,4
12/07/1980,1295754.03,382137.6,1980,7,12
14/07/1980,1156661.79,292825.8,1980,7,14
15/07/1980,95168374.82,106149300,1980,7,15
26/07/1980,1582723.28,52708.64,1980,7,26
28/07/1980,1048521.23,1098097,1980,7,28
07/08/1980,4278042.46,1157665,1980,8,7
08/08/1980,2489019.03,434846.3,1980,8,8
11/08/1980,1036727.67,867877,1980,8,11
18/08/1980,52708.64,1683748,1980,8,18
23/08/1980,1464128.84,253294.3,1980,8,23
27/08/1980,1451664.71,600292.8,1980,8,27
28/08/1980,512445.1,1590044,1980,8,28
30/08/1980,146412.88,5270864,1980,8,30
05/09/1980,1756954.61,288433.4,1980,9,5
08/09/1980,555954.61,2064999,1980,9,8
11/09/1980,1317715.96,270863.8,1980,9,11
12/09/1980,1334613.47,2928258,1980,9,12
12/09/1980,1243414.35,512445.1,1980,9,12
15/09/1980,5417276.72,2196193,1980,9,15
15/09/1980,5027672.04,1464129,1980,9,15
25/09/1980,234260.61,1893119,1980,9,25
30/09/1980,439238.65,2342606,1980,9,30
01/10/1980,658857.98,1171303,1980,10,1
06/10/1980,1573131.77,395314.8,1980,10,6
07/10/1980,1756954.61,485156.7,1980,10,7
08/10/1980,1325797.95,395314.8,1980,10,8
12/10/1980,2515698.39,2196193,1980,10,12
16/10/1980,878477.31,1512748,1980,10,16
17/10/1980,11310395.31,7759883,1980,10,17
20/10/1980,1756954.61,117130.3,1980,10,20
23/10/1980,512445.1,951683.7,1980,10,23
27/10/1980,1317715.96,1481991,1980,10,27
29/10/1980,1683748.17,329429,1980,10,29
30/10/1980,1390922.4,73206.44,1980,10,30
05/11/1980,3660322.11,2664714,1980,11,5
10/11/1980,1610541.73,724743.8,1980,11,10
13/11/1980,1530014.64,585651.5,1980,11,13
14/11/1980,752197.66,717347,1980,11,14
18/11/1980,2196193.27,3206442,1980,11,18
19/11/1980,1317715.96,1554905,1980,11,19
08/12/1980,1464128.84,585651.5,1980,12,8
09/12/1980,1244509.52,717423.1,1980,12,9
09/12/1980,2049780.38,585651.5,1980,12,9
10/12/1980,3660322.11,2196193,1980,12,10
12/12/1980,2668991.22,484887.3,1980,12,12
14/12/1980,1260241.58,1260615,1980,12,14
17/12/1980,7320644.22,12152270,1980,12,17
17/12/1980,1317715.96,517746.7,1980,12,17
25/12/1980,1756954.61,1024890,1980,12,25
27/12/1980,2489019.03,351390.9,1980,12,27
31/12/1980,1464128.84,866764.3,1980,12,31
01/01/1981,1284403.67,340760.2,1981,1,1
01/01/1981,1048492.79,266055,1981,1,1
01/01/1981,595321.1,1808650,1981,1,1
03/01/1981,3145478.37,3770152,1981,1,3
26/01/1981,1441677.59,373525.6,1981,1,26
31/01/1981,5897771.95,2359109,1981,1,31
07/02/1981,1289193.97,917431.2,1981,2,7
10/02/1981,4914809.96,29226740,1981,2,10
13/02/1981,1965923.98,406291,1981,2,13
15/02/1981,524246.4,3145478,1981,2,15
17/02/1981,990681.52,5242464,1981,2,17
23/02/1981,2686762.78,5570118,1981,2,23
27/02/1981,1703800.79,393184.8,1981,2,27
01/03/1981,393184.8,1376147,1981,3,1
01/03/1981,1323176.93,361726.1,1981,3,1
04/03/1981,1441677.59,494102.2,1981,3,4
10/03/1981,1310615.99,65530.8,1981,3,10
12/03/1981,655307.99,923984.3,1981,3,12
13/03/1981,1965923.98,393184.8,1981,3,13
23/03/1981,1310615.99,491481,1981,3,23
24/03/1981,1336828.31,482306.7,1981,3,24
24/03/1981,334207.08,976408.9,1981,3,24
27/03/1981,3019659.24,61114.02,1981,3,27
01/04/1981,7208387.94,13761470,1981,4,1
10/04/1981,1572739.19,2621232,1981,4,10
13/04/1981,1179554.39,682089.1,1981,4,13
18/04/1981,1965923.98,530799.5,1981,4,18
20/04/1981,2621231.98,2621232,1981,4,20
23/04/1981,2096985.58,6159895,1981,4,23
25/04/1981,2621231.98,10273920,1981,4,25
26/04/1981,1395806.03,393184.8,1981,4,26
26/04/1981,1899369.59,277457.4,1981,4,26
27/04/1981,8014849.28,762778.5,1981,4,27
27/04/1981,1382699.87,432503.3,1981,4,27
29/04/1981,1310615.99,2332896,1981,4,29
02/05/1981,525557.01,1087811,1981,5,2
03/05/1981,943643.51,524246.4,1981,5,3
06/05/1981,1548064.22,1572739,1981,5,6
13/05/1981,1572739.19,2228047,1981,5,13
16/05/1981,1179554.39,393184.8,1981,5,16
16/05/1981,1698990.83,131061.6,1981,5,16
21/05/1981,2330727.39,475753.6,1981,5,21
23/05/1981,786369.59,571428.6,1981,5,23
24/05/1981,989515.07,629095.7,1981,5,24
25/05/1981,655307.99,1310616,1981,5,25
28/05/1981,2760157.27,262123.2,1981,5,28
29/05/1981,2621231.98,53604190,1981,5,29
31/05/1981,4587155.96,393184.8,1981,5,31
17/06/1981,1703800.79,196592.4,1981,6,17
18/06/1981,1395806.03,327654,1981,6,18
19/06/1981,1376146.79,327654,1981,6,19
19/06/1981,2326343.38,693315.9,1981,6,19
24/06/1981,697247.71,722149.4,1981,6,24
29/06/1981,3931847.97,458715.6,1981,6,29
30/06/1981,5242463.96,2621232,1981,6,30
01/07/1981,524246.4,1048493,1981,7,1
07/07/1981,1965923.98,669698.6,1981,7,7
10/07/1981,1435648.75,429069.5,1981,7,10
11/07/1981,1441677.59,16077.33,1981,7,11
11/07/1981,5897771.95,1415465,1981,7,11
12/07/1981,1682817.82,92740.5,1981,7,12
20/07/1981,982961.99,366972.5,1981,7,20
26/07/1981,1125058.98,341415.5,1981,7,26
28/07/1981,3407601.57,1310616,1981,7,28
31/07/1981,1310615.99,131061.6,1981,7,31
11/08/1981,982961.99,393184.8,1981,8,11
19/08/1981,1598951.51,85190.04,1981,8,19
19/08/1981,1189478.37,178769.3,1981,8,19
28/08/1981,1703800.79,222804.7,1981,8,28
28/08/1981,2096985.58,537352.6,1981,8,28
28/08/1981,1834862.39,263433.8,1981,8,28
29/08/1981,1638269.99,1402898,1981,8,29
01/09/1981,1312762.78,166032.8,1981,9,1
02/09/1981,1310615.99,1310616,1981,9,2
03/09/1981,2752293.58,249017,1981,9,3
06/09/1981,8125819.13,2096986,1981,9,6
09/09/1981,1395498.03,1183898,1981,9,9
11/09/1981,1179554.39,773263.4,1981,9,11
16/09/1981,1539973.79,399737.9,1981,9,16
19/09/1981,1834862.39,34731.32,1981,9,19
20/09/1981,2090432.5,747051.1,1981,9,20
21/09/1981,1048492.79,930537.4,1981,9,21
22/09/1981,4627142.86,1310616,1981,9,22
26/09/1981,393184.8,1048493,1981,9,26
01/10/1981,1703800.79,334207.1,1981,10,1
03/10/1981,478374.84,2490170,1981,10,3
07/10/1981,1965923.98,471821.8,1981,10,7
11/10/1981,5483411.53,1626459,1981,10,11
18/10/1981,1218872.87,197077.3,1981,10,18
22/10/1981,2241153.34,3800786,1981,10,22
25/10/1981,1441677.59,1572739,1981,10,25
27/10/1981,1376146.79,393184.8,1981,10,27
28/10/1981,1002538.66,589777.2,1981,10,28
01/11/1981,1035386.63,353866.3,1981,11,1
03/11/1981,1179554.39,243774.6,1981,11,3
03/11/1981,991989.52,1330274,1981,11,3
05/11/1981,876802.1,528178.2,1981,11,5
08/11/1981,1965923.98,655308,1981,11,8
13/11/1981,2444298.82,1179554,1981,11,13
15/11/1981,1572739.19,32765.4,1981,11,15
16/11/1981,1703800.79,307994.8,1981,11,16
17/11/1981,1310615.99,956749.7,1981,11,17
19/11/1981,1277079.95,2096986,1981,11,19
22/11/1981,351874.18,1138925,1981,11,22
24/11/1981,1572739.19,524246.4,1981,11,24
25/11/1981,1099796.85,470369.6,1981,11,25
25/11/1981,1048492.79,327654,1981,11,25
01/12/1981,2621231.98,524246.4,1981,12,1
10/12/1981,805235.91,2228047,1981,12,10
13/12/1981,98296.2,1965924,1981,12,13
14/12/1981,5242463.96,1179554,1981,12,14
18/12/1981,1310615.99,179554.4,1981,12,18
21/12/1981,2883355.18,47182180,1981,12,21
21/12/1981,1441677.59,117955.4,1981,12,21
29/12/1981,2096985.58,327654,1981,12,29
31/12/1981,1310615.99,301441.7,1981,12,31
06/01/1982,2080856.12,2140309,1982,1,6
08/01/1982,784780.02,475624.3,1982,1,8
08/01/1982,1118026.16,285667.1,1982,1,8
09/01/1982,1070154.58,227110.6,1982,1,9
13/01/1982,1666980.98,260511.3,1982,1,13
13/01/1982,1426872.77,488585,1982,1,13
21/01/1982,1724137.93,178359.1,1982,1,21
22/01/1982,713436.39,475698,1982,1,22
22/01/1982,1735693.22,8442331,1982,1,22
29/01/1982,1907404.28,57639.71,1982,1,29
01/02/1982,1626892.98,319089.2,1982,2,1
03/02/1982,921522,280918,1982,2,3
04/02/1982,3923900.12,6896552,1982,2,4
04/02/1982,1650451.84,445897.7,1982,2,4
07/02/1982,1102259.22,790725.3,1982,2,7
08/02/1982,1486325.8,546967.9,1982,2,8
09/02/1982,653983.35,951248.5,1982,2,9
16/02/1982,1206896.55,196195,1982,2,16
22/02/1982,927467.3,267538.6,1982,2,22
25/02/1982,2853745.54,392390,1982,2,25
27/02/1982,594530.32,2378121,1982,2,27
28/02/1982,1103879.9,101070.2,1982,2,28
28/02/1982,1189060.64,594530.3,1982,2,28
07/03/1982,1783590.96,2140309,1982,3,7
10/03/1982,1480173.6,2972652,1982,3,10
19/03/1982,1204714.63,118906.1,1982,3,19
20/03/1982,1189060.64,416171.2,1982,3,20
22/03/1982,9631391.2,15338880,1982,3,22
05/04/1982,919143.88,713436.4,1982,4,5
05/04/1982,1082045.18,1032105,1982,4,5
11/04/1982,1307966.71,83234.24,1982,4,11
14/04/1982,1108145.07,832342.4,1982,4,14
14/04/1982,2378121.28,153329.4,1982,4,14
18/04/1982,1409036.86,78478,1982,4,18
21/04/1982,1443519.62,247324.6,1982,4,21
24/04/1982,1125140.31,133725.3,1982,4,24
24/04/1982,1228299.64,239001.2,1982,4,24
25/04/1982,2664684.9,71343.64,1982,4,25
28/04/1982,2378121.28,100969.1,1982,4,28
01/05/1982,1070154.58,3567182,1982,5,1
02/05/1982,594530.32,594530.3,1982,5,2
08/05/1982,1902497.03,439952.4,1982,5,8
16/05/1982,683709.87,653983.4,1982,5,16
23/05/1982,653983.35,3567182,1982,5,23
31/05/1982,1545778.83,94173.6,1982,5,31
03/06/1982,1189060.64,29726.52,1982,6,3
06/06/1982,832342.45,2853746,1982,6,6
10/06/1982,951248.51,2972652,1982,6,10
10/06/1982,832342.45,475624.3,1982,6,10
16/06/1982,1664684.9,500594.5,1982,6,16
17/06/1982,4253699.17,386493.5,1982,6,17
17/06/1982,1783590.96,1189061,1982,6,17
22/06/1982,594530.32,951248.5,1982,6,22
24/06/1982,951248.51,237812.1,1982,6,24
27/06/1982,7728894.17,3567182,1982,6,27
01/07/1982,2556480.38,309155.8,1982,7,1
14/07/1982,1248513.67,111055.9,1982,7,14
14/07/1982,2140309.16,3745541,1982,7,14
15/07/1982,1175074.91,94168.85,1982,7,15
21/07/1982,1964814.51,1553158,1982,7,21
24/07/1982,1486325.8,356718.2,1982,7,24
24/07/1982,1111771.7,303210.5,1982,7,24
27/07/1982,4756242.57,189789.5,1982,7,27
28/07/1982,737217.6,1175981,1982,7,28
29/07/1982,3686087.99,9374554,1982,7,29
31/07/1982,3129607.61,2378121,1982,7,31
01/08/1982,2259215.22,951248.5,1982,8,1
04/08/1982,3579227.11,614507.7,1982,8,4
04/08/1982,2972651.61,475624.3,1982,8,4
05/08/1982,3091557.67,464922.7,1982,8,5
06/08/1982,1236938.17,894573.1,1982,8,6
09/08/1982,2164090.37,253507.7,1982,8,9
13/08/1982,1156458.98,402724.1,1982,8,13
23/08/1982,951248.51,416171.2,1982,8,23
30/08/1982,2378121.28,1070155,1982,8,30
06/09/1982,1294195.01,289686.1,1982,9,6
08/09/1982,1070154.58,282996.4,1982,9,8
10/09/1982,1423642.09,363902.5,1982,9,10
10/09/1982,1724137.93,312722.9,1982,9,10
13/09/1982,1902497.03,71343.64,1982,9,13
18/09/1982,1852529.13,1057403,1982,9,18
19/09/1982,1426872.77,83234.24,1982,9,19
20/09/1982,2978190.25,1024388,1982,9,20
22/09/1982,475624.26,951248.5,1982,9,22
28/09/1982,1783590.96,504186.7,1982,9,28
30/09/1982,936979.79,451843,1982,9,30
01/10/1982,2378121.28,1795482,1982,10,1
04/10/1982,237812.13,2857313,1982,10,4
06/10/1982,801426.87,398722.9,1982,10,6
24/10/1982,14577883.47,45184300,1982,10,24
27/10/1982,6800049.94,18560050,1982,10,27
27/10/1982,12152199.76,3774078,1982,10,27
01/11/1982,2045862.07,541283,1982,11,1
06/11/1982,2114619.5,832342.4,1982,11,6
07/11/1982,1070154.58,154577.9,1982,11,7
08/11/1982,1070154.58,475624.3,1982,11,8
15/11/1982,1367419.74,1605232,1982,11,15
22/11/1982,1070154.58,356718.2,1982,11,22
25/11/1982,1070154.58,237812.1,1982,11,25
25/11/1982,416171.22,1082213,1982,11,25
27/11/1982,832342.45,856123.7,1982,11,27
02/12/1982,2378121.28,1997622,1982,12,2
02/12/1982,1313048.75,473643.3,1982,12,2
09/12/1982,951248.51,237812.1,1982,12,9
10/12/1982,1070154.58,3091558,1982,12,10
20/12/1982,1070154.58,1070155,1982,12,20
24/12/1982,3804994.05,15700360,1982,12,24
25/12/1982,2734839.48,1545779,1982,12,25
27/12/1982,4161712.25,1426873,1982,12,27
31/12/1982,1010701.55,1783591,1982,12,31
03/01/1983,1112347.05,229143.5,1983,1,3
03/01/1983,1040631.81,309014.5,1983,1,3
07/01/1983,1390433.82,107897.7,1983,1,7
09/01/1983,973303.67,139043.4,1983,1,9
10/01/1983,1045588.43,981899.9,1983,1,10
15/01/1983,803588.43,979864.3,1983,1,15
19/01/1983,4226918.8,122358.2,1983,1,19
24/01/1983,1001112.35,133481.6,1983,1,24
25/01/1983,1939695.22,521146.8,1983,1,25
30/01/1983,463848.72,1696329,1983,1,30
03/02/1983,1112347.05,4272525,1983,2,3
08/02/1983,710789.77,667408.2,1983,2,8
09/02/1983,889877.64,327030,1983,2,9
11/02/1983,1045606.23,117908.8,1983,2,11
12/02/1983,1124590.66,778642.9,1983,2,12
14/02/1983,3559510.57,1167964,1983,2,14
14/02/1983,1223581.76,333704.1,1983,2,14
17/02/1983,1001112.35,305895.4,1983,2,17
18/02/1983,2892102.34,251390.4,1983,2,18
20/02/1983,889877.64,307230.3,1983,2,20
18/03/1983,1223581.76,556173.5,1983,3,18
21/03/1983,1492070.08,155332.6,1983,3,21
21/03/1983,1312025.58,411666.3,1983,3,21
22/03/1983,3337041.16,2224694,1983,3,22
28/03/1983,1056729.7,278086.8,1983,3,28
01/04/1983,1112347.05,478309.2,1983,4,1
06/04/1983,1733768.63,520024.5,1983,4,6
10/04/1983,2117908.79,1668521,1983,4,10
11/04/1983,166852.06,1668521,1983,4,11
12/04/1983,1112347.05,1334816,1983,4,12
17/04/1983,829843.16,333704.1,1983,4,17
18/04/1983,2485454.95,667408.2,1983,4,18
21/04/1983,444938.82,4004449,1983,4,21
21/04/1983,834260.29,1335769,1983,4,21
10/05/1983,869855.39,339265.9,1983,5,10
13/05/1983,1023359.29,133481.6,1983,5,13
17/05/1983,667408.23,572858.7,1983,5,17
18/05/1983,889877.64,269378.2,1983,5,18
27/05/1983,1112347.05,1668521,1983,5,27
29/05/1983,7786429.37,1507230,1983,5,29
06/06/1983,1668520.58,472747.5,1983,6,6
07/06/1983,1167964.4,307007.8,1983,6,7
19/06/1983,1223581.76,371523.9,1983,6,19
22/06/1983,444938.82,667408.2,1983,6,22
23/06/1983,1779755.28,278086.8,1983,6,23
24/06/1983,937708.57,556173.5,1983,6,24
29/06/1983,1112347.05,184649.6,1983,6,29
03/07/1983,3559510.57,166852.1,1983,7,3
04/07/1983,808394.88,1085305,1983,7,4
07/07/1983,1971251.39,280946.6,1983,7,7
17/07/1983,1779755.28,667408.2,1983,7,17
18/07/1983,2729699.67,667408.2,1983,7,18
19/07/1983,2022764.18,355477.2,1983,7,19
20/07/1983,1390433.82,350389.3,1983,7,20
20/07/1983,795773.08,663515,1983,7,20
25/07/1983,1916573.97,190211.3,1983,7,25
25/07/1983,1380422.69,324805.3,1983,7,25
09/08/1983,823136.82,333704.1,1983,8,9
16/08/1983,1112347.05,111234.7,1983,8,16
17/08/1983,778642.94,413793.1,1983,8,17
22/08/1983,1290322.58,228031.1,1983,8,22
23/08/1983,1380422.69,263626.3,1983,8,23
25/08/1983,1140857.62,302280.3,1983,8,25
25/08/1983,1223581.76,559510.6,1983,8,25
25/08/1983,4057842.05,3934228,1983,8,25
28/08/1983,1446051.17,339265.9,1983,8,28
30/08/1983,4004449.39,889877.6,1983,8,30
31/08/1983,978865.41,327030,1983,8,31
01/09/1983,2224694.1,889877.6,1983,9,1
03/09/1983,889877.64,2986652,1983,9,3
03/09/1983,1807563.96,1779755,1983,9,3
04/09/1983,1219040.04,218914.3,1983,9,4
09/09/1983,556173.53,602460.5,1983,9,9
13/09/1983,1490545.05,3100111,1983,9,13
16/09/1983,5561735.26,5401557,1983,9,16
16/09/1983,2338153.5,723025.6,1983,9,16
17/09/1983,1012235.82,290322.6,1983,9,17
18/09/1983,1779755.28,276974.4,1983,9,18
18/09/1983,1033951.06,457815.4,1983,9,18
19/09/1983,4020022.25,2896532,1983,9,19
21/09/1983,1454062.29,150166.9,1983,9,21
29/09/1983,667408.23,2780868,1983,9,29
01/10/1983,1697675.19,278086.8,1983,10,1
02/10/1983,1334816.46,477196.9,1983,10,2
03/10/1983,1668520.58,333704.1,1983,10,3
03/10/1983,2341576.2,2402754,1983,10,3
05/10/1983,3003337.04,1001112,1983,10,5
11/10/1983,2224694.1,333704.1,1983,10,11
22/10/1983,60845.38,1131813,1983,10,22
24/10/1983,2002224.69,778642.9,1983,10,24
27/10/1983,1001112.35,311457.2,1983,10,27
01/11/1983,3559510.57,1779755,1983,11,1
13/11/1983,7230255.84,6117909,1983,11,13
15/11/1983,5658509.45,5773081,1983,11,15
16/11/1983,2669632.93,1311457,1983,11,16
23/11/1983,646829.81,2108206,1983,11,23
25/11/1983,778642.94,333704.1,1983,11,25
28/11/1983,889877.64,556173.5,1983,11,28
30/11/1983,1446051.17,627063.4,1983,11,30
15/12/1983,1056729.7,556173.5,1983,12,15
17/12/1983,1012235.82,112347.1,1983,12,17
19/12/1983,656284.76,472747.5,1983,12,19
20/12/1983,1779755.28,556173.5,1983,12,20
23/12/1983,1112347.05,611790.9,1983,12,23
24/12/1983,6674082.31,4449388,1983,12,24
25/12/1983,1112347.05,556173.5,1983,12,25
27/12/1983,1590656.28,133481.6,1983,12,27
30/12/1983,945494.99,556173.5,1983,12,30
01/01/1984,1204188.48,898534,1984,1,1
01/01/1984,837696.34,209424.1,1984,1,1
02/01/1984,1058869.11,314136.1,1984,1,2
04/01/1984,1329842.93,31413.61,1984,1,4
10/01/1984,2414410.47,126701.6,1984,1,10
31/01/1984,942408.38,202094.2,1984,1,31
07/02/1984,1973821.99,257591.6,1984,2,7
25/02/1984,1675392.67,732984.3,1984,2,25
28/02/1984,1052984.29,599193.7,1984,2,28
06/03/1984,805551.83,245224.1,1984,3,6
06/03/1984,2617801.05,83769.63,1984,3,6
06/03/1984,2198952.88,345549.7,1984,3,6
07/03/1984,1780104.71,575916.2,1984,3,7
08/03/1984,1256544.5,418848.2,1984,3,8
12/03/1984,732984.29,3141361,1984,3,12
15/03/1984,879581.15,890052.4,1984,3,15
17/03/1984,659685.86,458638.7,1984,3,17
17/03/1984,1727748.69,481675.4,1984,3,17
19/03/1984,830366.49,268062.8,1984,3,19
27/03/1984,2387833.51,575916.2,1984,3,27
28/03/1984,2617801.05,9005236,1984,3,28
28/03/1984,11081675.39,3211518,1984,3,28
03/04/1984,1256544.5,31413.61,1984,4,3
14/04/1984,3151832.46,9424084,1984,4,14
19/04/1984,412565.45,668062.8,1984,4,19
19/04/1984,1282722.51,534031.4,1984,4,19
22/04/1984,4188481.68,1256545,1984,4,22
25/04/1984,833507.85,213403.1,1984,4,25
27/04/1984,1361256.54,575916.2,1984,4,27
30/04/1984,1780104.71,213612.6,1984,4,30
02/05/1984,2094240.84,366492.1,1984,5,2
12/05/1984,1087302.62,340314.1,1984,5,12
12/05/1984,1256544.5,321466,1984,5,12
13/05/1984,2617801.05,1465969,1984,5,13
14/05/1984,1151832.46,900523.6,1984,5,14
20/05/1984,540314.14,628272.3,1984,5,20
20/05/1984,1047120.42,73298.43,1984,5,20
01/06/1984,3455497.38,314136.1,1984,6,1
04/06/1984,1151832.46,52356.02,1984,6,4
08/06/1984,1361256.54,509947.6,1984,6,8
08/06/1984,2094240.84,2303665,1984,6,8
08/06/1984,3350785.34,1256545,1984,6,8
11/06/1984,523560.21,15505120,1984,6,11
19/06/1984,104712.04,15706810,1984,6,19
24/06/1984,1026178.01,230366.5,1984,6,24
01/07/1984,942408.38,209424.1,1984,7,1
05/07/1984,890052.36,183246.1,1984,7,5
09/07/1984,1064158.12,130262.8,1984,7,9
12/07/1984,942408.38,121952.9,1984,7,12
12/07/1984,1255497.38,128795.8,1984,7,12
12/07/1984,732984.29,387434.6,1984,7,12
17/07/1984,1675392.67,118324.6,1984,7,17
23/07/1984,907565.45,699162.3,1984,7,23
27/07/1984,1570680.63,1073298,1984,7,27
01/08/1984,1083769.63,203126.7,1984,8,1
01/08/1984,1308900.52,3141361,1984,8,1
01/08/1984,1047120.42,189528.8,1984,8,1
02/08/1984,1361256.54,597905.8,1984,8,2
04/08/1984,981626.18,209424.1,1984,8,4
05/08/1984,240837.7,633805.2,1984,8,5
07/08/1984,1465968.59,523560.2,1984,8,7
09/08/1984,1033819.9,442915.2,1984,8,9
10/08/1984,2303664.92,418848.2,1984,8,10
