Recorded time,Building Insurance Claim Size,Content Insurance Claim Size,Year,Month
3/1/1980,1098096.63,585651.50,1980,1
4/1/1980,1756954.61,336749.60,1980,1
7/1/1980,1244509.52,3367496.00,1980,1
10/1/1980,4452039.53,4273234.00,1980,1
10/1/1980,2494875.55,3543192.00,1980,1
1/16/1980,775689.60,993117.10,1980,1
1/16/1980,812591.51,673499.30,1980,1
1/19/1980,2371573.94,168374.80,1980,1
1/26/1980,6918008.78,4456808.00,1980,1
1/26/1980,1602306.00,880433.40,1980,1
1/28/1980,18301610.54,7913031.00,1980,1
3/2/1980,1545622.25,456808.20,1980,2
5/2/1980,4392386.53,137628.10,1980,2
7/2/1980,1120988.29,720764.30,1980,2
2/13/1980,10248901.90,3873174.00,1980,2
2/16/1980,3081647.14,2342606.00,1980,2
2/19/1980,2928257.69,8784773.00,1980,2
2/20/1980,959004.39,556369.00,1980,2
2/22/1980,1756954.61,292825.80,1980,2
2/23/1980,3806734.99,8658858.00,1980,2
2/27/1980,512445.10,1171303.00,1980,2
7/3/1980,667749.63,2436483.00,1980,3
3/13/1980,1674612.01,73206.44,1980,3
3/13/1980,73206.44,2342606.00,1980,3
3/17/1980,4392386.53,897863.80,1980,3
3/26/1980,622655.93,1308665.00,1980,3
4/16/1980,732064.42,805270.90,1980,4
1/5/1980,369019.03,1098097.00,1980,5
1/5/1980,1024890.19,1024890.00,1980,5
2/5/1980,1088989.75,839721.80,1980,5
2/5/1980,2124303.07,1138851.00,1980,5
4/5/1980,898975.11,805270.90,1980,5
9/5/1980,1098096.63,2196193.00,1980,5
5/18/1980,5856515.37,1464129.00,1980,5
5/26/1980,9325036.60,4295754.00,1980,5
5/29/1980,732064.42,1024890.00,1980,5
3/6/1980,7320644.22,14641290.00,1980,6
12/6/1980,2306002.93,146412.90,1980,6
6/15/1980,1244509.52,1424597.00,1980,6
6/16/1980,612005.86,1112738.00,1980,6
6/21/1980,1171303.07,790629.60,1980,6
6/30/1980,3806734.99,819912.20,1980,6
4/7/1980,946705.71,2060029.00,1980,7
4/7/1980,1113212.30,4450640.00,1980,7
12/7/1980,1295754.03,382137.60,1980,7
7/14/1980,1156661.79,292825.80,1980,7
7/15/1980,95168374.82,106149300.00,1980,7
7/26/1980,1582723.28,52708.64,1980,7
7/28/1980,1048521.23,1098097.00,1980,7
7/8/1980,4278042.46,1157665.00,1980,8
8/8/1980,2489019.03,434846.30,1980,8
11/8/1980,1036727.67,867877.00,1980,8
8/18/1980,52708.64,1683748.00,1980,8
8/23/1980,1464128.84,253294.30,1980,8
8/27/1980,1451664.71,600292.80,1980,8
8/28/1980,512445.10,1590044.00,1980,8
8/30/1980,146412.88,5270864.00,1980,8
5/9/1980,1756954.61,288433.40,1980,9
8/9/1980,555954.61,2064999.00,1980,9
11/9/1980,1317715.96,270863.80,1980,9
12/9/1980,1334613.47,2928258.00,1980,9
12/9/1980,1243414.35,512445.10,1980,9
9/15/1980,5417276.72,2196193.00,1980,9
9/15/1980,5027672.04,1464129.00,1980,9
9/25/1980,234260.61,1893119.00,1980,9
9/30/1980,439238.65,2342606.00,1980,9
1/10/1980,658857.98,1171303.00,1980,10
6/10/1980,1573131.77,395314.80,1980,10
7/10/1980,1756954.61,485156.70,1980,10
8/10/1980,1325797.95,395314.80,1980,10
12/10/1980,2515698.39,2196193.00,1980,10
10/16/1980,878477.31,1512748.00,1980,10
10/17/1980,11310395.31,7759883.00,1980,10
10/20/1980,1756954.61,117130.30,1980,10
10/23/1980,512445.10,951683.70,1980,10
10/27/1980,1317715.96,1481991.00,1980,10
10/29/1980,1683748.17,329429.00,1980,10
10/30/1980,1390922.40,73206.44,1980,10
5/11/1980,3660322.11,2664714.00,1980,11
10/11/1980,1610541.73,724743.80,1980,11
11/13/1980,1530014.64,585651.50,1980,11
11/14/1980,752197.66,717347.00,1980,11
11/18/1980,2196193.27,3206442.00,1980,11
11/19/1980,1317715.96,1554905.00,1980,11
8/12/1980,1464128.84,585651.50,1980,12
9/12/1980,1244509.52,717423.10,1980,12
9/12/1980,2049780.38,585651.50,1980,12
10/12/1980,3660322.11,2196193.00,1980,12
12/12/1980,2668991.22,484887.30,1980,12
12/14/1980,1260241.58,1260615.00,1980,12
12/17/1980,7320644.22,12152270.00,1980,12
12/17/1980,1317715.96,517746.70,1980,12
12/25/1980,1756954.61,1024890.00,1980,12
12/27/1980,2489019.03,351390.90,1980,12
12/31/1980,1464128.84,866764.30,1980,12
1/1/1981,1284403.67,340760.20,1981,1
1/1/1981,1048492.79,266055.00,1981,1
1/1/1981,595321.10,1808650.00,1981,1
3/1/1981,3145478.37,3770152.00,1981,1
1/26/1981,1441677.59,373525.60,1981,1
1/31/1981,5897771.95,2359109.00,1981,1
7/2/1981,1289193.97,917431.20,1981,2
10/2/1981,4914809.96,29226740.00,1981,2
2/13/1981,1965923.98,406291.00,1981,2
2/15/1981,524246.40,3145478.00,1981,2
2/17/1981,990681.52,5242464.00,1981,2
2/23/1981,2686762.78,5570118.00,1981,2
2/27/1981,1703800.79,393184.80,1981,2
1/3/1981,393184.80,1376147.00,1981,3
1/3/1981,1323176.93,361726.10,1981,3
4/3/1981,1441677.59,494102.20,1981,3
10/3/1981,1310615.99,65530.80,1981,3
12/3/1981,655307.99,923984.30,1981,3
3/13/1981,1965923.98,393184.80,1981,3
3/23/1981,1310615.99,491481.00,1981,3
3/24/1981,1336828.31,482306.70,1981,3
3/24/1981,334207.08,976408.90,1981,3
3/27/1981,3019659.24,61114.02,1981,3
1/4/1981,7208387.94,13761470.00,1981,4
10/4/1981,1572739.19,2621232.00,1981,4
4/13/1981,1179554.39,682089.10,1981,4
4/18/1981,1965923.98,530799.50,1981,4
4/20/1981,2621231.98,2621232.00,1981,4
4/23/1981,2096985.58,6159895.00,1981,4
4/25/1981,2621231.98,10273920.00,1981,4
4/26/1981,1395806.03,393184.80,1981,4
4/26/1981,1899369.59,277457.40,1981,4
4/27/1981,8014849.28,762778.50,1981,4
4/27/1981,1382699.87,432503.30,1981,4
4/29/1981,1310615.99,2332896.00,1981,4
2/5/1981,525557.01,1087811.00,1981,5
3/5/1981,943643.51,524246.40,1981,5
6/5/1981,1548064.22,1572739.00,1981,5
5/13/1981,1572739.19,2228047.00,1981,5
5/16/1981,1179554.39,393184.80,1981,5
5/16/1981,1698990.83,131061.60,1981,5
5/21/1981,2330727.39,475753.60,1981,5
5/23/1981,786369.59,571428.60,1981,5
5/24/1981,989515.07,629095.70,1981,5
5/25/1981,655307.99,1310616.00,1981,5
5/28/1981,2760157.27,262123.20,1981,5
5/29/1981,2621231.98,53604190.00,1981,5
5/31/1981,4587155.96,393184.80,1981,5
6/17/1981,1703800.79,196592.40,1981,6
6/18/1981,1395806.03,327654.00,1981,6
6/19/1981,1376146.79,327654.00,1981,6
6/19/1981,2326343.38,693315.90,1981,6
6/24/1981,697247.71,722149.40,1981,6
6/29/1981,3931847.97,458715.60,1981,6
6/30/1981,5242463.96,2621232.00,1981,6
1/7/1981,524246.40,1048493.00,1981,7
7/7/1981,1965923.98,669698.60,1981,7
10/7/1981,1435648.75,429069.50,1981,7
11/7/1981,1441677.59,16077.33,1981,7
11/7/1981,5897771.95,1415465.00,1981,7
12/7/1981,1682817.82,92740.50,1981,7
7/20/1981,982961.99,366972.50,1981,7
7/26/1981,1125058.98,341415.50,1981,7
7/28/1981,3407601.57,1310616.00,1981,7
7/31/1981,1310615.99,131061.60,1981,7
11/8/1981,982961.99,393184.80,1981,8
8/19/1981,1598951.51,85190.04,1981,8
8/19/1981,1189478.37,178769.30,1981,8
8/28/1981,1703800.79,222804.70,1981,8
8/28/1981,2096985.58,537352.60,1981,8
8/28/1981,1834862.39,263433.80,1981,8
8/29/1981,1638269.99,1402898.00,1981,8
1/9/1981,1312762.78,166032.80,1981,9
2/9/1981,1310615.99,1310616.00,1981,9
3/9/1981,2752293.58,249017.00,1981,9
6/9/1981,8125819.13,2096986.00,1981,9
9/9/1981,1395498.03,1183898.00,1981,9
11/9/1981,1179554.39,773263.40,1981,9
9/16/1981,1539973.79,399737.90,1981,9
9/19/1981,1834862.39,34731.32,1981,9
9/20/1981,2090432.50,747051.10,1981,9
9/21/1981,1048492.79,930537.40,1981,9
9/22/1981,4627142.86,1310616.00,1981,9
9/26/1981,393184.80,1048493.00,1981,9
1/10/1981,1703800.79,334207.10,1981,10
3/10/1981,478374.84,2490170.00,1981,10
7/10/1981,1965923.98,471821.80,1981,10
11/10/1981,5483411.53,1626459.00,1981,10
10/18/1981,1218872.87,197077.30,1981,10
10/22/1981,2241153.34,3800786.00,1981,10
10/25/1981,1441677.59,1572739.00,1981,10
10/27/1981,1376146.79,393184.80,1981,10
10/28/1981,1002538.66,589777.20,1981,10
1/11/1981,1035386.63,353866.30,1981,11
3/11/1981,1179554.39,243774.60,1981,11
3/11/1981,991989.52,1330274.00,1981,11
5/11/1981,876802.10,528178.20,1981,11
8/11/1981,1965923.98,655308.00,1981,11
11/13/1981,2444298.82,1179554.00,1981,11
11/15/1981,1572739.19,32765.40,1981,11
11/16/1981,1703800.79,307994.80,1981,11
11/17/1981,1310615.99,956749.70,1981,11
11/19/1981,1277079.95,2096986.00,1981,11
11/22/1981,351874.18,1138925.00,1981,11
11/24/1981,1572739.19,524246.40,1981,11
11/25/1981,1099796.85,470369.60,1981,11
11/25/1981,1048492.79,327654.00,1981,11
1/12/1981,2621231.98,524246.40,1981,12
10/12/1981,805235.91,2228047.00,1981,12
12/13/1981,98296.20,1965924.00,1981,12
12/14/1981,5242463.96,1179554.00,1981,12
12/18/1981,1310615.99,179554.40,1981,12
12/21/1981,2883355.18,47182180.00,1981,12
12/21/1981,1441677.59,117955.40,1981,12
12/29/1981,2096985.58,327654.00,1981,12
12/31/1981,1310615.99,301441.70,1981,12
6/1/1982,2080856.12,2140309.00,1982,1
8/1/1982,784780.02,475624.30,1982,1
8/1/1982,1118026.16,285667.10,1982,1
9/1/1982,1070154.58,227110.60,1982,1
1/13/1982,1666980.98,260511.30,1982,1
1/13/1982,1426872.77,488585.00,1982,1
1/21/1982,1724137.93,178359.10,1982,1
1/22/1982,713436.39,475698.00,1982,1
1/22/1982,1735693.22,8442331.00,1982,1
1/29/1982,1907404.28,57639.71,1982,1
1/2/1982,1626892.98,319089.20,1982,2
3/2/1982,921522.00,280918.00,1982,2
4/2/1982,3923900.12,6896552.00,1982,2
4/2/1982,1650451.84,445897.70,1982,2
7/2/1982,1102259.22,790725.30,1982,2
8/2/1982,1486325.80,546967.90,1982,2
9/2/1982,653983.35,951248.50,1982,2
2/16/1982,1206896.55,196195.00,1982,2
2/22/1982,927467.30,267538.60,1982,2
2/25/1982,2853745.54,392390.00,1982,2
2/27/1982,594530.32,2378121.00,1982,2
2/28/1982,1103879.90,101070.20,1982,2
2/28/1982,1189060.64,594530.30,1982,2
7/3/1982,1783590.96,2140309.00,1982,3
10/3/1982,1480173.60,2972652.00,1982,3
3/19/1982,1204714.63,118906.10,1982,3
3/20/1982,1189060.64,416171.20,1982,3
3/22/1982,9631391.20,15338880.00,1982,3
5/4/1982,919143.88,713436.40,1982,4
5/4/1982,1082045.18,1032105.00,1982,4
11/4/1982,1307966.71,83234.24,1982,4
4/14/1982,1108145.07,832342.40,1982,4
4/14/1982,2378121.28,153329.40,1982,4
4/18/1982,1409036.86,78478.00,1982,4
4/21/1982,1443519.62,247324.60,1982,4
4/24/1982,1125140.31,133725.30,1982,4
4/24/1982,1228299.64,239001.20,1982,4
4/25/1982,2664684.90,71343.64,1982,4
4/28/1982,2378121.28,100969.10,1982,4
1/5/1982,1070154.58,3567182.00,1982,5
2/5/1982,594530.32,594530.30,1982,5
8/5/1982,1902497.03,439952.40,1982,5
5/16/1982,683709.87,653983.40,1982,5
5/23/1982,653983.35,3567182.00,1982,5
5/31/1982,1545778.83,94173.60,1982,5
3/6/1982,1189060.64,29726.52,1982,6
6/6/1982,832342.45,2853746.00,1982,6
10/6/1982,951248.51,2972652.00,1982,6
10/6/1982,832342.45,475624.30,1982,6
6/16/1982,1664684.90,500594.50,1982,6
6/17/1982,4253699.17,386493.50,1982,6
6/17/1982,1783590.96,1189061.00,1982,6
6/22/1982,594530.32,951248.50,1982,6
6/24/1982,951248.51,237812.10,1982,6
6/27/1982,7728894.17,3567182.00,1982,6
1/7/1982,2556480.38,309155.80,1982,7
7/14/1982,1248513.67,111055.90,1982,7
7/14/1982,2140309.16,3745541.00,1982,7
7/15/1982,1175074.91,94168.85,1982,7
7/21/1982,1964814.51,1553158.00,1982,7
7/24/1982,1486325.80,356718.20,1982,7
7/24/1982,1111771.70,303210.50,1982,7
7/27/1982,4756242.57,189789.50,1982,7
7/28/1982,737217.60,1175981.00,1982,7
7/29/1982,3686087.99,9374554.00,1982,7
7/31/1982,3129607.61,2378121.00,1982,7
1/8/1982,2259215.22,951248.50,1982,8
4/8/1982,3579227.11,614507.70,1982,8
4/8/1982,2972651.61,475624.30,1982,8
5/8/1982,3091557.67,464922.70,1982,8
6/8/1982,1236938.17,894573.10,1982,8
9/8/1982,2164090.37,253507.70,1982,8
8/13/1982,1156458.98,402724.10,1982,8
8/23/1982,951248.51,416171.20,1982,8
8/30/1982,2378121.28,1070155.00,1982,8
6/9/1982,1294195.01,289686.10,1982,9
8/9/1982,1070154.58,282996.40,1982,9
10/9/1982,1423642.09,363902.50,1982,9
10/9/1982,1724137.93,312722.90,1982,9
9/13/1982,1902497.03,71343.64,1982,9
9/18/1982,1852529.13,1057403.00,1982,9
9/19/1982,1426872.77,83234.24,1982,9
9/20/1982,2978190.25,1024388.00,1982,9
9/22/1982,475624.26,951248.50,1982,9
9/28/1982,1783590.96,504186.70,1982,9
9/30/1982,936979.79,451843.00,1982,9
1/10/1982,2378121.28,1795482.00,1982,10
4/10/1982,237812.13,2857313.00,1982,10
6/10/1982,801426.87,398722.90,1982,10
10/24/1982,14577883.47,45184300.00,1982,10
10/27/1982,6800049.94,18560050.00,1982,10
10/27/1982,12152199.76,3774078.00,1982,10
1/11/1982,2045862.07,541283.00,1982,11
6/11/1982,2114619.50,832342.40,1982,11
7/11/1982,1070154.58,154577.90,1982,11
8/11/1982,1070154.58,475624.30,1982,11
11/15/1982,1367419.74,1605232.00,1982,11
11/22/1982,1070154.58,356718.20,1982,11
11/25/1982,1070154.58,237812.10,1982,11
11/25/1982,416171.22,1082213.00,1982,11
11/27/1982,832342.45,856123.70,1982,11
2/12/1982,2378121.28,1997622.00,1982,12
2/12/1982,1313048.75,473643.30,1982,12
9/12/1982,951248.51,237812.10,1982,12
10/12/1982,1070154.58,3091558.00,1982,12
12/20/1982,1070154.58,1070155.00,1982,12
12/24/1982,3804994.05,15700360.00,1982,12
12/25/1982,2734839.48,1545779.00,1982,12
12/27/1982,4161712.25,1426873.00,1982,12
12/31/1982,1010701.55,1783591.00,1982,12
3/1/1983,1112347.05,229143.50,1983,1
3/1/1983,1040631.81,309014.50,1983,1
7/1/1983,1390433.82,107897.70,1983,1
9/1/1983,973303.67,139043.40,1983,1
10/1/1983,1045588.43,981899.90,1983,1
1/15/1983,803588.43,979864.30,1983,1
1/19/1983,4226918.80,122358.20,1983,1
1/24/1983,1001112.35,133481.60,1983,1
1/25/1983,1939695.22,521146.80,1983,1
1/30/1983,463848.72,1696329.00,1983,1
3/2/1983,1112347.05,4272525.00,1983,2
8/2/1983,710789.77,667408.20,1983,2
9/2/1983,889877.64,327030.00,1983,2
11/2/1983,1045606.23,117908.80,1983,2
12/2/1983,1124590.66,778642.90,1983,2
2/14/1983,3559510.57,1167964.00,1983,2
2/14/1983,1223581.76,333704.10,1983,2
2/17/1983,1001112.35,305895.40,1983,2
2/18/1983,2892102.34,251390.40,1983,2
2/20/1983,889877.64,307230.30,1983,2
3/18/1983,1223581.76,556173.50,1983,3
3/21/1983,1492070.08,155332.60,1983,3
3/21/1983,1312025.58,411666.30,1983,3
3/22/1983,3337041.16,2224694.00,1983,3
3/28/1983,1056729.70,278086.80,1983,3
1/4/1983,1112347.05,478309.20,1983,4
6/4/1983,1733768.63,520024.50,1983,4
10/4/1983,2117908.79,1668521.00,1983,4
11/4/1983,166852.06,1668521.00,1983,4
12/4/1983,1112347.05,1334816.00,1983,4
4/17/1983,829843.16,333704.10,1983,4
4/18/1983,2485454.95,667408.20,1983,4
4/21/1983,444938.82,4004449.00,1983,4
4/21/1983,834260.29,1335769.00,1983,4
10/5/1983,869855.39,339265.90,1983,5
5/13/1983,1023359.29,133481.60,1983,5
5/17/1983,667408.23,572858.70,1983,5
5/18/1983,889877.64,269378.20,1983,5
5/27/1983,1112347.05,1668521.00,1983,5
5/29/1983,7786429.37,1507230.00,1983,5
6/6/1983,1668520.58,472747.50,1983,6
7/6/1983,1167964.40,307007.80,1983,6
6/19/1983,1223581.76,371523.90,1983,6
6/22/1983,444938.82,667408.20,1983,6
6/23/1983,1779755.28,278086.80,1983,6
6/24/1983,937708.57,556173.50,1983,6
6/29/1983,1112347.05,184649.60,1983,6
3/7/1983,3559510.57,166852.10,1983,7
4/7/1983,808394.88,1085305.00,1983,7
7/7/1983,1971251.39,280946.60,1983,7
7/17/1983,1779755.28,667408.20,1983,7
7/18/1983,2729699.67,667408.20,1983,7
7/19/1983,2022764.18,355477.20,1983,7
7/20/1983,1390433.82,350389.30,1983,7
7/20/1983,795773.08,663515.00,1983,7
7/25/1983,1916573.97,190211.30,1983,7
7/25/1983,1380422.69,324805.30,1983,7
9/8/1983,823136.82,333704.10,1983,8
8/16/1983,1112347.05,111234.70,1983,8
8/17/1983,778642.94,413793.10,1983,8
8/22/1983,1290322.58,228031.10,1983,8
8/23/1983,1380422.69,263626.30,1983,8
8/25/1983,1140857.62,302280.30,1983,8
8/25/1983,1223581.76,559510.60,1983,8
8/25/1983,4057842.05,3934228.00,1983,8
8/28/1983,1446051.17,339265.90,1983,8
8/30/1983,4004449.39,889877.60,1983,8
8/31/1983,978865.41,327030.00,1983,8
1/9/1983,2224694.10,889877.60,1983,9
3/9/1983,889877.64,2986652.00,1983,9
3/9/1983,1807563.96,1779755.00,1983,9
4/9/1983,1219040.04,218914.30,1983,9
9/9/1983,556173.53,602460.50,1983,9
9/13/1983,1490545.05,3100111.00,1983,9
9/16/1983,5561735.26,5401557.00,1983,9
9/16/1983,2338153.50,723025.60,1983,9
9/17/1983,1012235.82,290322.60,1983,9
9/18/1983,1779755.28,276974.40,1983,9
9/18/1983,1033951.06,457815.40,1983,9
9/19/1983,4020022.25,2896532.00,1983,9
9/21/1983,1454062.29,150166.90,1983,9
9/29/1983,667408.23,2780868.00,1983,9
1/10/1983,1697675.19,278086.80,1983,10
2/10/1983,1334816.46,477196.90,1983,10
3/10/1983,1668520.58,333704.10,1983,10
3/10/1983,2341576.20,2402754.00,1983,10
5/10/1983,3003337.04,1001112.00,1983,10
11/10/1983,2224694.10,333704.10,1983,10
10/22/1983,60845.38,1131813.00,1983,10
10/24/1983,2002224.69,778642.90,1983,10
10/27/1983,1001112.35,311457.20,1983,10
1/11/1983,3559510.57,1779755.00,1983,11
11/13/1983,7230255.84,6117909.00,1983,11
11/15/1983,5658509.45,5773081.00,1983,11
11/16/1983,2669632.93,1311457.00,1983,11
11/23/1983,646829.81,2108206.00,1983,11
11/25/1983,778642.94,333704.10,1983,11
11/28/1983,889877.64,556173.50,1983,11
11/30/1983,1446051.17,627063.40,1983,11
12/15/1983,1056729.70,556173.50,1983,12
12/17/1983,1012235.82,112347.10,1983,12
12/19/1983,656284.76,472747.50,1983,12
12/20/1983,1779755.28,556173.50,1983,12
12/23/1983,1112347.05,611790.90,1983,12
12/24/1983,6674082.31,4449388.00,1983,12
12/25/1983,1112347.05,556173.50,1983,12
12/27/1983,1590656.28,133481.60,1983,12
12/30/1983,945494.99,556173.50,1983,12
1/1/1984,1204188.48,898534.00,1984,1
1/1/1984,837696.34,209424.10,1984,1
2/1/1984,1058869.11,314136.10,1984,1
4/1/1984,1329842.93,31413.61,1984,1
10/1/1984,2414410.47,126701.60,1984,1
1/31/1984,942408.38,202094.20,1984,1
7/2/1984,1973821.99,257591.60,1984,2
2/25/1984,1675392.67,732984.30,1984,2
2/28/1984,1052984.29,599193.70,1984,2
6/3/1984,805551.83,245224.10,1984,3
6/3/1984,2617801.05,83769.63,1984,3
6/3/1984,2198952.88,345549.70,1984,3
7/3/1984,1780104.71,575916.20,1984,3
8/3/1984,1256544.50,418848.20,1984,3
12/3/1984,732984.29,3141361.00,1984,3
3/15/1984,879581.15,890052.40,1984,3
3/17/1984,659685.86,458638.70,1984,3
3/17/1984,1727748.69,481675.40,1984,3
3/19/1984,830366.49,268062.80,1984,3
3/27/1984,2387833.51,575916.20,1984,3
3/28/1984,2617801.05,9005236.00,1984,3
3/28/1984,11081675.39,3211518.00,1984,3
3/4/1984,1256544.50,31413.61,1984,4
4/14/1984,3151832.46,9424084.00,1984,4
4/19/1984,412565.45,668062.80,1984,4
4/19/1984,1282722.51,534031.40,1984,4
4/22/1984,4188481.68,1256545.00,1984,4
4/25/1984,833507.85,213403.10,1984,4
4/27/1984,1361256.54,575916.20,1984,4
4/30/1984,1780104.71,213612.60,1984,4
2/5/1984,2094240.84,366492.10,1984,5
12/5/1984,1087302.62,340314.10,1984,5
12/5/1984,1256544.50,321466.00,1984,5
5/13/1984,2617801.05,1465969.00,1984,5
5/14/1984,1151832.46,900523.60,1984,5
5/20/1984,540314.14,628272.30,1984,5
5/20/1984,1047120.42,73298.43,1984,5
1/6/1984,3455497.38,314136.10,1984,6
4/6/1984,1151832.46,52356.02,1984,6
8/6/1984,1361256.54,509947.60,1984,6
8/6/1984,2094240.84,2303665.00,1984,6
8/6/1984,3350785.34,1256545.00,1984,6
11/6/1984,523560.21,15505120.00,1984,6
6/19/1984,104712.04,15706810.00,1984,6
6/24/1984,1026178.01,230366.50,1984,6
1/7/1984,942408.38,209424.10,1984,7
5/7/1984,890052.36,183246.10,1984,7
9/7/1984,1064158.12,130262.80,1984,7
12/7/1984,942408.38,121952.90,1984,7
12/7/1984,1255497.38,128795.80,1984,7
12/7/1984,732984.29,387434.60,1984,7
7/17/1984,1675392.67,118324.60,1984,7
7/23/1984,907565.45,699162.30,1984,7
7/27/1984,1570680.63,1073298.00,1984,7
1/8/1984,1083769.63,203126.70,1984,8
1/8/1984,1308900.52,3141361.00,1984,8
1/8/1984,1047120.42,189528.80,1984,8
2/8/1984,1361256.54,597905.80,1984,8
4/8/1984,981626.18,209424.10,1984,8
5/8/1984,240837.70,633805.20,1984,8
7/8/1984,1465968.59,523560.20,1984,8
9/8/1984,1033819.90,442915.20,1984,8
10/8/1984,2303664.92,418848.20,1984,8
11/8/1984,635325.65,399442.90,1984,8
8/17/1984,811518.32,795811.50,1984,8
8/20/1984,314136.13,890052.40,1984,8
8/20/1984,837696.34,235602.10,1984,8
8/20/1984,963350.79,136125.70,1984,8
